,time,price,fees,treasury,entry_fee_income,exit_fee_income,LA_exposure,LA_position,funding_payments,bull,liquidations,exits
75,2019-07-22,1.4,108151.97133599402,34302356.639287,64791.88353970703,86620.87633068458,9712658.475045927,77345322.88549668,290580.6734267959,False,0.0,73.0
76,2019-07-23,1.36,147936.33064014468,34169178.57929254,60422.23197952397,140771.1776910728,8917933.805552255,71472457.66954096,281114.39063460554,False,8.0,117.0
77,2019-07-24,1.38,140947.07184411617,35514822.15063398,65247.536927858455,129259.42221702186,9010665.56141339,72747373.158051,1204696.4994973245,True,0.0,104.0
78,2019-07-25,1.32,150823.1875979586,35383173.42715315,64096.23559882202,134990.37203048336,8500595.459493304,68296962.67196888,282471.911078797,False,4.0,98.0
79,2019-07-26,1.33,161220.0180618208,36630679.850497395,70141.89215954937,144280.7318626723,8489335.831776924,68063057.97508913,1086286.4052824227,True,0.0,107.0
80,2019-07-27,1.33,103283.45610490652,36440826.279415615,66504.10261464908,70862.89400487661,9767725.872481136,79744507.45336385,293137.0271866864,False,0.0,68.0
81,2019-07-28,1.3,150054.73335512064,36305472.14087112,70460.1007137533,124611.05264790356,9715055.102413004,81082133.9302504,285408.8718996117,False,1.0,99.0
82,2019-07-29,1.25,162710.78630731537,36194671.5552246,58383.363776138875,145005.11910800534,9313192.624137536,72315912.00640294,273511.3719538383,False,21.0,98.0
83,2019-07-30,1.29,156180.4049741013,37461906.386276364,62244.429477424885,139228.29293916578,9040668.682262193,71773541.73628302,1111054.426077661,True,0.0,106.0
84,2019-07-31,1.29,117339.94712179084,37288382.96677765,64920.86885918925,86447.66292792094,9964545.424174406,80183246.15303835,290863.36662050174,False,0.0,73.0
85,2019-08-01,1.29,92326.67391365343,37091382.94807235,62455.11775987875,56646.29158873419,11480179.725660283,93412692.65129869,289326.6926189507,False,0.0,44.0
86,2019-08-02,1.28,172258.51640267123,36977456.69802785,69190.34263127692,151300.55836414229,10895729.473673638,90165150.53574704,286184.7664471682,False,0.0,125.0
87,2019-08-03,1.28,133142.2826013473,36825589.58045796,59510.61321433125,110911.50851539333,11082914.767354108,91749079.81568241,285009.40017123224,False,0.0,83.0
88,2019-08-04,1.26,169635.11542894316,36715540.797185995,70018.96733251042,143721.27810795794,10653282.169317823,89584678.3318685,279683.898700905,False,0.0,117.0
89,2019-08-05,1.24,147914.33305388727,36589191.024070896,59607.70543170159,123806.0675551186,10409235.216136064,87237163.68739802,274264.1061689847,False,1.0,113.0
90,2019-08-06,1.17,207178.0122951615,36538058.525730774,54070.31711413143,188327.95727120747,8616167.050400218,65178441.7068971,258310.51063528974,False,71.0,101.0
